Name,Brand,Model,Serial No,Cost,Description,Category
Canon EOS R6 Mark II,Canon,EOS R6 Mark II,CN-R6M2-001,2499.00,Full-frame mirrorless camera with 24.2MP sensor,Cameras
Sony Alpha 7C,Sony,A7C,SN-A7C-001,1798.00,Compact full-frame mirrorless camera,Cameras
Nikon Z6 III,Nikon,Z6 III,NK-Z6III-001,2499.00,Professional full-frame mirrorless,Cameras
Canon RF 50mm f/1.2L,Canon,RF 50mm f/1.2L,CN-RF50-001,2299.00,Professional portrait lens,Lenses
Sony FE 24-70mm f/2.8 GM II,Sony,FE 24-70mm f/2.8 GM II,SN-2470GM-001,2299.00,Standard zoom lens,Lenses
Manfrotto Befree Advanced,Manfrotto,Befree Advanced,MF-BFA-001,219.00,Travel tripod,Tripods & Stabilizers
DJI RS 3,DJI,RS 3,DJI-RS3-001,549.00,Camera gimbal stabilizer,Tripods & Stabilizers
Aputure 300D II,Aputure,300D II,AP-300D-001,1099.00,LED video light,Lighting
Godox AD600 Pro,Godox,AD600 Pro,GX-AD600-001,899.00,Outdoor flash strobe,Lighting
Rode VideoMic Pro+,Rode,VideoMic Pro+,RD-VMP-001,299.00,On-camera shotgun microphone,Audio
Tascam DR-40X,Tascam,DR-40X,TS-DR40X-001,179.00,Four-track digital recorder,Audio
SanDisk Extreme Pro 512GB,SanDisk,Extreme Pro 512GB,SD-EXP512-001,119.00,CFexpress memory card,Storage
DJI Mini 4 Pro,DJI,Mini 4 Pro,DJI-M4P-001,759.00,Compact drone with 4K camera,Drones
